Sample.Number,X,Y,Z,Cu,Au,Mo,As,Cp,Py,TS,Alteration
13316,650993.97,4765714.25,-98.46,-0.651,0.402,-0.066,-1.41,-0.445,0.982,0.469,PHY
13316,650993.97,4765714.25,-98.46,-0.372,1.157,-0.01,-0.363,-0.43,1.371,0.465,PHY
13316,650993.97,4765714.25,-98.46,-0.5,0.906,0.223,-1.019,-0.391,1.117,0.555,PHY
13316,650993.97,4765714.25,-98.46,-0.679,0.516,-0.302,-1.213,-0.441,1.164,0.563,PHY
13316,650993.97,4765714.25,-98.46,-0.716,0.875,-0.174,-1.442,-0.592,0.864,0.385,PHY
13316,650993.97,4765714.25,-98.46,-0.636,0.328,-0.338,-0.741,-0.348,1.127,0.494,PHY
13316,650993.97,4765714.25,-98.46,-0.753,0.528,-0.279,-0.742,-0.292,0.953,0.613,PHY
13316,650993.97,4765714.25,-98.46,-0.332,1.387,0.579,-0.371,-0.223,1.286,0.742,PHY
13316,650993.97,4765714.25,-98.46,-0.722,0.758,-0.586,-0.824,-0.604,0.888,0.22,PHY
13316,650993.97,4765714.25,-98.46,-0.535,0.226,0.112,-0.943,-0.221,1.179,0.644,PHY
13316,650993.97,4765714.25,-98.46,-0.564,0.538,-0.313,-0.834,-0.461,1.194,0.403,PHY
13316,650993.97,4765714.25,-98.46,-0.508,0.508,0.119,-1.39,-0.459,1.132,0.453,PHY
13316,650993.97,4765714.25,-98.46,-0.521,0.724,0.307,-0.904,-0.37,0.813,0.384,PHY
13316,650993.97,4765714.25,-98.46,-0.609,0.554,-0.285,-0.352,-0.326,1.017,0.43,PHY
13316,650993.97,4765714.25,-98.46,-0.511,1.123,-0.046,-0.78,-0.484,1.18,0.472,PHY
13316,650993.97,4765714.25,-98.46,-0.544,0.631,-0.223,-1.351,-0.56,1.302,0.441,PHY
13316,650993.97,4765714.25,-98.46,-0.532,0.89,0.011,-0.4,-0.294,1.108,0.565,PHY
13316,650993.97,4765714.25,-98.46,-0.7,0.598,-0.166,-1.187,-0.423,0.98,0.53,PHY
13316,650993.97,4765714.25,-98.46,-0.54,0.508,-0.103,-1.269,-0.474,1.233,0.474,PHY
13316,650993.97,4765714.25,-98.46,-0.52,0.801,-0.213,-0.277,-0.325,1.246,0.53,PHY
13316,650993.97,4765714.25,-98.46,-0.627,1.258,-0.372,-0.772,-0.6,1.092,0.38,PHY
13316,650993.97,4765714.25,-98.46,-0.516,0.681,-0.277,-1.156,-0.564,1.334,0.404,PHY
13316,650993.97,4765714.25,-98.46,-0.477,1.438,-0.141,-0.815,-0.669,1.144,0.273,PHY
13316,650993.97,4765714.25,-98.46,-0.543,0.938,-0.293,-0.646,-0.507,1.187,0.386,PHY
13316,650993.97,4765714.25,-98.46,-0.697,0.294,-0.136,-1.308,-0.334,1.095,0.649,PHY
13316,650993.97,4765714.25,-98.46,-0.676,0.469,-0.512,-1.205,-0.569,1.126,0.356,PHY
13316,650993.97,4765714.25,-98.46,-0.664,0.458,-0.34,-0.427,-0.276,1.066,0.546,PHY
13316,650993.97,4765714.25,-98.46,-0.483,0.667,0.149,-0.925,-0.343,1.196,0.565,PHY
13316,650993.97,4765714.25,-98.46,-0.552,1.198,0.132,-0.834,-0.446,0.98,0.486,PHY
13316,650993.97,4765714.25,-98.46,-0.623,0.592,0.13,-1.035,-0.214,1.18,0.824,PHY
13316,650993.97,4765714.25,-98.46,-0.568,1.118,-0.116,-0.633,-0.462,1.059,0.447,PHY
13316,650993.97,4765714.25,-98.46,-0.614,0.37,-0.082,-1.584,-0.535,0.999,0.361,PHY
13316,650993.97,4765714.25,-98.46,-0.49,1.202,0.007,-0.414,-0.42,1.096,0.447,PHY
13316,650993.97,4765714.25,-98.46,-0.271,1.333,0.527,-1.055,-0.507,1.303,0.46,PHY
13316,650993.97,4765714.25,-98.46,-0.597,0.059,-0.431,-0.928,-0.398,1.241,0.426,PHY
13316,650993.97,4765714.25,-98.46,-0.584,0.993,0.239,-1.015,-0.372,0.946,0.577,PHY
13316,650993.97,4765714.25,-98.46,-0.619,0.566,-0.221,-1.265,-0.48,1.187,0.507,PHY
13316,650993.97,4765714.25,-98.46,-0.549,0.8,-0.007,-0.507,-0.39,0.877,0.339,PHY
13316,650993.97,4765714.25,-98.46,-0.699,0.411,-0.416,-1.177,-0.494,1.058,0.42,PHY
13316,650993.97,4765714.25,-98.46,-0.404,0.832,0.44,-0.6,-0.194,1.225,0.703,PHY
13316,650993.97,4765714.25,-98.46,-0.674,0.521,-0.265,-0.571,-0.359,0.866,0.395,PHY
13316,650993.97,4765714.25,-98.46,-0.66,0.952,-0.162,-0.785,-0.42,0.988,0.518,PHY
13316,650993.97,4765714.25,-98.46,-0.863,-0.047,-0.572,-1.481,-0.447,0.908,0.462,PHY
13316,650993.97,4765714.25,-98.46,-0.558,0.455,-0.172,-1.206,-0.475,1.204,0.442,PHY
13316,650993.97,4765714.25,-98.46,-0.469,0.76,-0.171,-0.872,-0.524,1.253,0.351,PHY
13316,650993.97,4765714.25,-98.46,-0.59,0.721,-0.548,-0.812,-0.618,1.148,0.227,PHY
13316,650993.97,4765714.25,-98.46,-0.365,0.589,0.283,-1.416,-0.445,1.404,0.536,PHY
13316,650993.97,4765714.25,-98.46,-0.574,0.201,-0.401,-0.601,-0.324,1.283,0.496,PHY
13329,651004.92,4765712.66,-121.99,-0.807,0.444,0.053,-0.368,-0.614,0.887,0.315,PHY
13329,651004.92,4765712.66,-121.99,-0.855,0.536,-0.354,-0.105,-0.668,1.053,0.317,PHY
13329,651004.92,4765712.66,-121.99,-1.097,-0.469,-1.149,-1.363,-1.032,0.978,-0.048,PHY
13329,651004.92,4765712.66,-121.99,-0.912,-0.092,-0.414,-1.08,-0.764,1.118,0.3,PHY
13329,651004.92,4765712.66,-121.99,-0.824,0.469,-0.427,0.013,-0.682,1.091,0.253,PHY
13329,651004.92,4765712.66,-121.99,-1.141,-0.097,-0.921,-0.661,-0.747,0.917,0.281,PHY
13329,651004.92,4765712.66,-121.99,-0.989,0.34,-0.614,-0.645,-0.844,0.898,0.156,PHY
13329,651004.92,4765712.66,-121.99,-1.151,-0.875,-1.106,-1.236,-0.89,0.812,-0.033,PHY
13329,651004.92,4765712.66,-121.99,-0.78,0.231,0.006,-0.078,-0.427,1.168,0.564,PHY
13329,651004.92,4765712.66,-121.99,-0.798,-0.284,-0.482,-0.866,-0.787,1.224,0.151,PHY
13329,651004.92,4765712.66,-121.99,-1.135,-0.183,-1.193,-0.535,-0.814,1.019,0.184,PHY
13329,651004.92,4765712.66,-121.99,-1.011,-0.469,-0.871,-1.46,-0.959,1.079,0.064,PHY
13329,651004.92,4765712.66,-121.99,-0.952,-0.019,-0.612,-0.655,-0.743,1.065,0.255,PHY
13329,651004.92,4765712.66,-121.99,-1.033,-0.41,-0.715,-0.469,-0.63,0.919,0.25,PHY
13329,651004.92,4765712.66,-121.99,-1.192,-0.479,-1.211,-0.397,-0.672,0.978,0.287,PHY
13329,651004.92,4765712.66,-121.99,-0.994,-0.453,-0.647,-0.388,-0.543,1.067,0.384,PHY
13329,651004.92,4765712.66,-121.99,-0.941,0.024,-0.693,-0.812,-0.837,1.118,0.192,PHY
13329,651004.92,4765712.66,-121.99,-0.927,0.459,-0.354,-0.563,-0.695,1.075,0.414,PHY
13329,651004.92,4765712.66,-121.99,-0.827,0.457,-0.418,-0.556,-0.79,1.209,0.283,PHY
13329,651004.92,4765712.66,-121.99,-1.026,-0.784,-0.979,-1.182,-0.817,1.172,0.167,PHY
13329,651004.92,4765712.66,-121.99,-0.861,-0.607,-0.289,-0.994,-0.578,1.21,0.41,PHY
13329,651004.92,4765712.66,-121.99,-0.773,0.209,-0.213,-0.957,-0.797,1.214,0.264,PHY
13329,651004.92,4765712.66,-121.99,-0.875,0.203,-0.247,-0.609,-0.68,1.006,0.313,PHY
13329,651004.92,4765712.66,-121.99,-1.029,0.361,-0.742,0.145,-0.636,0.915,0.305,PHY
13329,651004.92,4765712.66,-121.99,-0.831,0.479,-0.278,-0.045,-0.61,1.082,0.365,PHY
13329,651004.92,4765712.66,-121.99,-0.9,0.299,-0.475,-1.153,-0.958,1.018,0.101,PHY
13329,651004.92,4765712.66,-121.99,-1.187,-0.159,-0.925,-0.937,-0.846,0.719,0.127,PHY
13329,651004.92,4765712.66,-121.99,-0.955,-0.241,-0.26,-0.385,-0.44,0.991,0.517,PHY
13329,651004.92,4765712.66,-121.99,-1.178,-0.503,-1.322,-0.262,-0.713,0.962,0.179,PHY
13329,651004.92,4765712.66,-121.99,-0.731,-0.207,-0.059,-0.202,-0.44,1.228,0.457,PHY
13329,651004.92,4765712.66,-121.99,-0.831,-0.032,-0.021,-0.693,-0.556,1.053,0.432,PHY
13329,651004.92,4765712.66,-121.99,-0.832,-0.167,-0.152,-0.685,-0.585,1.088,0.373,PHY
13329,651004.92,4765712.66,-121.99,-0.88,0.139,-0.034,-1.322,-0.813,0.844,0.198,PHY
13329,651004.92,4765712.66,-121.99,-0.97,-0.804,-0.631,-0.737,-0.624,0.981,0.203,PHY
13329,651004.92,4765712.66,-121.99,-1.045,-0.23,-0.61,-0.793,-0.694,0.907,0.281,PHY
13329,651004.92,4765712.66,-121.99,-1.014,-0.316,-0.763,-0.769,-0.775,0.953,0.146,PHY
13329,651004.92,4765712.66,-121.99,-0.983,-0.08,-0.606,-1.284,-0.913,0.976,0.124,PHY
13329,651004.92,4765712.66,-121.99,-0.89,-0.498,-0.559,-0.863,-0.633,1.337,0.413,PHY
13329,651004.92,4765712.66,-121.99,-0.942,-0.292,-0.265,-1.029,-0.652,0.955,0.331,PHY
13329,651004.92,4765712.66,-121.99,-1.114,-0.651,-0.844,-0.82,-0.654,0.942,0.292,PHY
13329,651004.92,4765712.66,-121.99,-0.75,0.4,-0.223,-0.657,-0.81,1.145,0.185,PHY
13329,651004.92,4765712.66,-121.99,-0.926,0.051,-0.227,-0.638,-0.605,0.96,0.392,PHY
13329,651004.92,4765712.66,-121.99,-0.841,-0.209,-0.289,-1.016,-0.71,1.169,0.309,PHY
13329,651004.92,4765712.66,-121.99,-0.766,0.682,-0.087,-0.634,-0.788,1.093,0.268,PHY
13329,651004.92,4765712.66,-121.99,-1.136,-0.624,-1.338,-0.89,-0.882,1.081,0.084,PHY
13329,651004.92,4765712.66,-121.99,-0.832,0.309,-0.292,-0.544,-0.718,1.104,0.294,PHY
13329,651004.92,4765712.66,-121.99,-0.99,0.133,-0.931,0.159,-0.654,1.121,0.289,PHY
13329,651004.92,4765712.66,-121.99,-0.988,0.352,-0.78,0.072,-0.691,0.996,0.256,PHY
13329,651004.92,4765712.66,-121.99,-0.929,-0.241,-0.463,-0.644,-0.609,1.125,0.391,PHY
13329,651004.92,4765712.66,-121.99,-1.033,-0.291,-1.243,0.38,-0.632,1.111,0.184,PHY
13358,651030,4765708.49,-174.12,-0.9,1.371,-0.447,0.085,0.084,0.315,0.199,PHY
13358,651030,4765708.49,-174.12,-0.935,1.481,-0.56,0.6,0.117,0.139,0.101,PHY
13358,651030,4765708.49,-174.12,-0.811,1.404,-0.62,0.339,0.008,0.455,0.059,PHY
13358,651030,4765708.49,-174.12,-0.777,1.414,-0.496,-0.033,-0.02,0.584,0.143,PHY
13358,651030,4765708.49,-174.12,-0.712,1.415,-0.249,-0.233,-0.078,0.421,-0.008,PHY
13358,651030,4765708.49,-174.12,-0.941,0.44,-0.771,0.381,0.264,0.396,0.201,PHY
13358,651030,4765708.49,-174.12,-0.8,0.381,-0.488,0.073,0.202,0.435,0.098,PHY
13358,651030,4765708.49,-174.12,-0.585,2.141,0.185,0.878,0.207,0.446,0.259,PHY
13358,651030,4765708.49,-174.12,-0.683,0.901,-0.302,0.167,0.146,0.571,0.127,PHY
13358,651030,4765708.49,-174.12,-0.85,1.29,-0.8,0.097,-0.076,0.509,0.018,PHY
13358,651030,4765708.49,-174.12,-0.782,1.349,-0.323,0.201,0.017,0.214,-0.043,PHY
13358,651030,4765708.49,-174.12,-0.651,0.945,-0.147,-0.083,0.128,0.601,0.162,PHY
13358,651030,4765708.49,-174.12,-0.991,0.964,-0.556,-0.489,0.048,0.325,0.231,PHY
13358,651030,4765708.49,-174.12,-0.61,1.954,0.183,0.089,0.018,0.387,0.113,PHY
13358,651030,4765708.49,-174.12,-0.849,0.818,-0.424,0.322,0.216,0.287,0.138,PHY
13358,651030,4765708.49,-174.12,-0.816,0.976,-0.379,0.063,0.149,0.425,0.188,PHY
13358,651030,4765708.49,-174.12,-0.867,1.042,-0.836,0.296,0.053,0.555,0.117,PHY
13358,651030,4765708.49,-174.12,-0.728,1.677,-0.537,0.564,0.004,0.547,0.067,PHY
13358,651030,4765708.49,-174.12,-0.703,1.786,-0.273,0.149,-0.012,0.559,0.153,PHY
13358,651030,4765708.49,-174.12,-0.753,1.258,-0.266,0.155,0.122,0.458,0.18,PHY
13358,651030,4765708.49,-174.12,-0.934,1.11,-0.703,0.528,0.143,0.268,0.116,PHY
13358,651030,4765708.49,-174.12,-0.727,0.935,-0.54,0.616,0.214,0.644,0.192,PHY
13358,651030,4765708.49,-174.12,-0.628,1.605,-0.049,0.424,0.163,0.593,0.252,PHY
13358,651030,4765708.49,-174.12,-0.799,1.28,-0.373,0.039,0.101,0.523,0.243,PHY
13358,651030,4765708.49,-174.12,-0.678,1.272,-0.139,-0.075,0.036,0.454,0.068,PHY
13358,651030,4765708.49,-174.12,-0.66,0.934,-0.094,0.126,0.209,0.542,0.202,PHY
13358,651030,4765708.49,-174.12,-0.753,1.168,-0.112,-0.292,0.09,0.437,0.201,PHY
13358,651030,4765708.49,-174.12,-0.892,1.162,-0.607,0.474,0.131,0.286,0.105,PHY
13358,651030,4765708.49,-174.12,-0.765,1.649,-0.059,0.054,0.069,0.281,0.158,PHY
13358,651030,4765708.49,-174.12,-0.545,1.529,0.29,0.062,0.171,0.592,0.27,PHY
13358,651030,4765708.49,-174.12,-0.674,0.832,-0.167,0.273,0.319,0.717,0.382,PHY
13358,651030,4765708.49,-174.12,-0.659,1.244,-0.322,0.606,0.171,0.59,0.148,PHY
13358,651030,4765708.49,-174.12,-0.7,1.534,-0.015,0.338,0.261,0.609,0.438,PHY
13358,651030,4765708.49,-174.12,-0.82,0.882,-0.59,0.526,0.25,0.575,0.272,PHY
13358,651030,4765708.49,-174.12,-0.84,1.208,-0.294,-0.093,0.104,0.361,0.206,PHY
13358,651030,4765708.49,-174.12,-0.691,1.652,0.062,0.34,0.204,0.443,0.308,PHY
13358,651030,4765708.49,-174.12,-0.888,0.821,-0.759,-0.18,-0.044,0.376,-0.039,PHY
13358,651030,4765708.49,-174.12,-0.707,1.038,-0.178,0.439,0.28,0.53,0.281,PHY
13358,651030,4765708.49,-174.12,-0.84,1.068,-0.632,0.438,0.183,0.573,0.26,PHY
13358,651030,4765708.49,-174.12,-0.767,1.159,-0.341,0.523,0.307,0.66,0.429,PHY
13358,651030,4765708.49,-174.12,-0.789,1.509,-0.455,0.41,-0.003,0.262,-0.047,PHY
13358,651030,4765708.49,-174.12,-0.469,1.76,0.531,0.859,0.394,0.557,0.395,PHY
13358,651030,4765708.49,-174.12,-0.746,1.136,-0.112,0.155,0.226,0.452,0.282,PHY
13358,651030,4765708.49,-174.12,-0.83,1.31,-0.462,0.414,0.147,0.419,0.202,PHY
13358,651030,4765708.49,-174.12,-0.85,1.114,-0.596,0.894,0.275,0.414,0.23,PHY
13358,651030,4765708.49,-174.12,-0.831,1.471,-0.258,0.47,0.252,0.428,0.379,PHY
13358,651030,4765708.49,-174.12,-0.619,1.132,0.274,0.423,0.447,0.612,0.518,PHY
13358,651030,4765708.49,-174.12,-0.706,1.114,-0.019,-0.326,0.118,0.506,0.235,PHY
13358,651030,4765708.49,-174.12,-0.499,1.561,0.181,0.223,0.162,0.752,0.276,PHY
13358,651030,4765708.49,-174.12,-0.805,1.348,-0.135,0.704,0.344,0.321,0.355,PHY
13359,651030.88,4765708.34,-175.91,-0.851,1.828,-0.438,0.288,0.233,0.483,0.501,PHY
13359,651030.88,4765708.34,-175.91,-0.857,1.23,-0.351,0.509,0.552,0.654,0.813,PHY
13359,651030.88,4765708.34,-175.91,-1.014,1.124,-0.821,0.094,0.275,0.438,0.498,PHY
13359,651030.88,4765708.34,-175.91,-0.69,1.657,-0.228,0.072,0.275,0.814,0.614,PHY
13359,651030.88,4765708.34,-175.91,-0.82,1.201,-0.654,-0.051,0.191,0.689,0.431,PHY
13359,651030.88,4765708.34,-175.91,-0.761,1.197,-0.242,0.285,0.488,0.761,0.757,PHY
13359,651030.88,4765708.34,-175.91,-0.896,1.267,-0.735,0.245,0.303,0.684,0.582,PHY
13359,651030.88,4765708.34,-175.91,-0.61,1.985,0.005,0.845,0.437,0.719,0.657,PHY
13359,651030.88,4765708.34,-175.91,-0.564,1.503,0.341,0.359,0.562,0.781,0.806,PHY
13359,651030.88,4765708.34,-175.91,-0.795,1.621,-0.589,0.163,0.162,0.664,0.427,PHY
13359,651030.88,4765708.34,-175.91,-0.659,1.494,-0.26,0.328,0.379,0.932,0.693,PHY
13359,651030.88,4765708.34,-175.91,-0.533,1.577,0.1,0.15,0.341,0.86,0.589,PHY
13359,651030.88,4765708.34,-175.91,-0.875,1.381,-0.029,-0.152,0.432,0.411,0.73,PHY
13359,651030.88,4765708.34,-175.91,-0.725,1.635,0.065,0.37,0.498,0.62,0.777,PHY
13359,651030.88,4765708.34,-175.91,-0.943,1.38,-0.767,0.348,0.322,0.63,0.618,PHY
13359,651030.88,4765708.34,-175.91,-0.854,1.226,-0.269,-0.069,0.424,0.65,0.76,PHY
13359,651030.88,4765708.34,-175.91,-0.962,1.182,-0.555,0.183,0.406,0.497,0.666,PHY
13359,651030.88,4765708.34,-175.91,-0.741,1.73,-0.31,0.49,0.331,0.656,0.576,PHY
13359,651030.88,4765708.34,-175.91,-0.747,1.725,-0.054,0.026,0.345,0.647,0.694,PHY
13359,651030.88,4765708.34,-175.91,-0.866,1.55,-0.492,0.3,0.345,0.638,0.66,PHY
13359,651030.88,4765708.34,-175.91,-0.719,1.521,-0.424,0.595,0.408,0.887,0.698,PHY
13359,651030.88,4765708.34,-175.91,-0.72,1.453,0.223,0.671,0.707,0.613,0.942,PHY
13359,651030.88,4765708.34,-175.91,-0.654,1.739,-0.082,0.002,0.225,0.682,0.498,PHY
13359,651030.88,4765708.34,-175.91,-0.882,1.634,-0.415,0.343,0.391,0.61,0.731,PHY
13359,651030.88,4765708.34,-175.91,-0.695,1.595,0.001,0.301,0.446,0.7,0.73,PHY
13359,651030.88,4765708.34,-175.91,-0.75,1.686,-0.319,0.298,0.303,0.694,0.591,PHY
13359,651030.88,4765708.34,-175.91,-0.64,1.127,0.027,-0.174,0.43,0.876,0.736,PHY
13359,651030.88,4765708.34,-175.91,-0.74,1.342,-0.424,0.463,0.374,0.745,0.581,PHY
13359,651030.88,4765708.34,-175.91,-0.755,1.738,-0.231,0.148,0.278,0.627,0.576,PHY
13359,651030.88,4765708.34,-175.91,-0.618,1.438,0.192,0.272,0.513,0.749,0.761,PHY
13359,651030.88,4765708.34,-175.91,-0.745,1.362,-0.092,0.572,0.602,0.752,0.877,PHY
13359,651030.88,4765708.34,-175.91,-0.664,1.868,-0.088,0.754,0.459,0.759,0.729,PHY
13359,651030.88,4765708.34,-175.91,-0.787,1.36,-0.049,0.294,0.525,0.583,0.781,PHY
13359,651030.88,4765708.34,-175.91,-0.816,1.245,-0.173,0.219,0.477,0.554,0.706,PHY
13359,651030.88,4765708.34,-175.91,-0.701,2.155,-0.01,0.157,0.21,0.514,0.505,PHY
13359,651030.88,4765708.34,-175.91,-0.844,1.693,-0.429,0.084,0.271,0.662,0.64,PHY
13359,651030.88,4765708.34,-175.91,-0.92,1.329,-0.387,0.086,0.36,0.413,0.597,PHY
13359,651030.88,4765708.34,-175.91,-0.85,1.054,-0.284,0.247,0.528,0.619,0.77,PHY
13359,651030.88,4765708.34,-175.91,-0.903,1.643,-0.675,0.886,0.464,0.711,0.775,PHY
13359,651030.88,4765708.34,-175.91,-1.062,0.898,-1.175,0.385,0.327,0.603,0.554,PHY
13359,651030.88,4765708.34,-175.91,-0.702,1.613,-0.194,0.393,0.366,0.701,0.611,PHY
13359,651030.88,4765708.34,-175.91,-0.63,1.843,0.039,0.861,0.536,0.771,0.787,PHY
13359,651030.88,4765708.34,-175.91,-0.649,1.256,0.008,0.034,0.449,0.838,0.739,PHY
13359,651030.88,4765708.34,-175.91,-0.753,1.501,-0.353,0.333,0.342,0.706,0.597,PHY
13359,651030.88,4765708.34,-175.91,-0.922,1.189,-0.531,0.862,0.673,0.745,0.972,PHY
13359,651030.88,4765708.34,-175.91,-0.879,1.72,-0.775,0.379,0.183,0.637,0.475,PHY
13359,651030.88,4765708.34,-175.91,-0.595,1.756,-0.027,0.771,0.507,0.916,0.79,PHY
13359,651030.88,4765708.34,-175.91,-0.716,1.739,-0.095,-0.139,0.244,0.672,0.589,PHY
13359,651030.88,4765708.34,-175.91,-0.701,1.747,-0.067,0.021,0.277,0.644,0.578,PHY
13359,651030.88,4765708.34,-175.91,-0.823,1.665,-0.262,0.556,0.406,0.461,0.608,PHY
13389,651058.15,4765703.12,-229.09,-0.939,0.478,-0.428,0.261,-0.83,0.471,-0.602,PHY
13389,651058.15,4765703.12,-229.09,-1.111,0.477,-0.335,-0.515,-0.942,0.138,-0.633,PHY
13389,651058.15,4765703.12,-229.09,-0.857,1.327,0.05,0.84,-0.648,0.504,-0.296,PHY
13389,651058.15,4765703.12,-229.09,-0.957,1.46,-0.409,0.176,-1.056,0.412,-0.65,PHY
13389,651058.15,4765703.12,-229.09,-0.896,1.209,-0.261,0.393,-0.881,0.52,-0.513,PHY
13389,651058.15,4765703.12,-229.09,-1.073,1.137,-0.831,0.912,-0.894,0.379,-0.618,PHY
13389,651058.15,4765703.12,-229.09,-1.075,0.704,-0.462,-0.188,-0.937,0.314,-0.578,PHY
13389,651058.15,4765703.12,-229.09,-0.946,0.431,-0.213,0.46,-0.681,0.345,-0.509,PHY
13389,651058.15,4765703.12,-229.09,-0.971,0.181,-0.205,-0.072,-0.75,0.346,-0.537,PHY
13389,651058.15,4765703.12,-229.09,-0.992,0.387,-0.698,0.082,-0.961,0.462,-0.735,PHY
13389,651058.15,4765703.12,-229.09,-0.811,0.549,0.001,0.233,-0.696,0.616,-0.408,PHY
13389,651058.15,4765703.12,-229.09,-1.1,0.772,-0.381,0.064,-0.822,0.266,-0.466,PHY
13389,651058.15,4765703.12,-229.09,-0.898,0.57,-0.365,0.604,-0.708,0.599,-0.453,PHY
13389,651058.15,4765703.12,-229.09,-1.035,1.201,-0.357,0.443,-0.829,0.35,-0.448,PHY
13389,651058.15,4765703.12,-229.09,-1.223,0.519,-1.038,-0.271,-1.103,0.265,-0.764,PHY
13389,651058.15,4765703.12,-229.09,-1.14,0.299,-0.667,0.053,-0.74,0.517,-0.335,PHY
13389,651058.15,4765703.12,-229.09,-1.046,0.887,-0.607,0.244,-0.914,0.442,-0.552,PHY
13389,651058.15,4765703.12,-229.09,-1.238,-0.094,-0.813,-0.351,-0.869,0.215,-0.603,PHY
13389,651058.15,4765703.12,-229.09,-1.034,0.673,0.087,-0.104,-0.665,0.247,-0.294,PHY
13389,651058.15,4765703.12,-229.09,-0.737,0.937,0.271,0.796,-0.575,0.537,-0.349,PHY
13389,651058.15,4765703.12,-229.09,-0.99,0.716,-0.378,0.186,-0.828,0.439,-0.504,PHY
13389,651058.15,4765703.12,-229.09,-0.864,1.032,-0.081,0.66,-0.708,0.495,-0.415,PHY
13389,651058.15,4765703.12,-229.09,-0.88,0.983,-0.268,0.249,-0.897,0.52,-0.573,PHY
13389,651058.15,4765703.12,-229.09,-0.878,1.132,-0.295,1.198,-0.655,0.55,-0.398,PHY
13389,651058.15,4765703.12,-229.09,-1.259,0.33,-0.744,0.031,-0.829,0.101,-0.562,PHY
13389,651058.15,4765703.12,-229.09,-0.91,0.654,-0.318,0.101,-0.827,0.614,-0.468,PHY
13389,651058.15,4765703.12,-229.09,-0.932,0.985,-0.288,0.223,-0.887,0.446,-0.556,PHY
13389,651058.15,4765703.12,-229.09,-0.983,1.598,-0.213,0.384,-0.936,0.279,-0.543,PHY
13389,651058.15,4765703.12,-229.09,-0.866,1.184,-0.182,0.198,-0.941,0.473,-0.6,PHY
13389,651058.15,4765703.12,-229.09,-0.902,0.861,0.129,0.385,-0.673,0.285,-0.426,PHY
13389,651058.15,4765703.12,-229.09,-1.046,0.546,-0.569,0.143,-0.88,0.365,-0.608,PHY
13389,651058.15,4765703.12,-229.09,-0.901,0.81,0.117,0.146,-0.688,0.414,-0.35,PHY
13389,651058.15,4765703.12,-229.09,-0.873,1.124,-0.067,0.407,-0.841,0.355,-0.575,PHY
13389,651058.15,4765703.12,-229.09,-0.776,1.465,-0.009,-0.09,-1.08,0.497,-0.698,PHY
13389,651058.15,4765703.12,-229.09,-1.031,0.898,-0.334,0.806,-0.668,0.303,-0.412,PHY
13389,651058.15,4765703.12,-229.09,-0.798,1.279,0.174,0.4,-0.885,0.206,-0.709,PHY
13389,651058.15,4765703.12,-229.09,-1.039,0.844,-0.522,0.019,-0.994,0.286,-0.7,PHY
13389,651058.15,4765703.12,-229.09,-0.945,0.607,-0.172,-0.024,-0.794,0.453,-0.463,PHY
13389,651058.15,4765703.12,-229.09,-0.855,0.922,-0.349,0.305,-0.9,0.626,-0.572,PHY
13389,651058.15,4765703.12,-229.09,-0.946,1.139,-0.401,0.415,-0.938,0.384,-0.646,PHY
13389,651058.15,4765703.12,-229.09,-0.91,0.975,-0.313,0.076,-0.982,0.411,-0.685,PHY
13389,651058.15,4765703.12,-229.09,-1.186,0.355,-0.734,-0.105,-0.915,0.196,-0.643,PHY
13389,651058.15,4765703.12,-229.09,-0.98,0.727,-0.32,0.694,-0.687,0.372,-0.457,PHY
13389,651058.15,4765703.12,-229.09,-0.919,0.82,0.039,0.086,-0.783,0.292,-0.507,PHY
13389,651058.15,4765703.12,-229.09,-0.994,1.267,-0.749,0.536,-1.02,0.517,-0.658,PHY
13389,651058.15,4765703.12,-229.09,-1.011,0.69,-0.33,0.255,-0.753,0.434,-0.413,PHY
13389,651058.15,4765703.12,-229.09,-0.796,1.262,0.19,-0.111,-0.922,0.457,-0.538,PHY
13389,651058.15,4765703.12,-229.09,-0.956,0.58,-0.395,-0.092,-0.908,0.492,-0.585,PHY
13389,651058.15,4765703.12,-229.09,-0.851,1.69,0.013,0.277,-1.017,0.262,-0.695,PHY
13389,651058.15,4765703.12,-229.09,-0.947,0.986,0.094,0.329,-0.687,0.28,-0.375,PHY
13447,651113.04,4765687.48,-330.06,-0.345,1.295,-0.368,0.4,-0.463,0.7,-0.108,PHY
13447,651113.04,4765687.48,-330.06,-0.397,1.539,-0.396,-0.422,-0.755,0.595,-0.278,PHY
13447,651113.04,4765687.48,-330.06,-0.528,1.324,-0.517,0.009,-0.54,0.5,-0.099,PHY
13447,651113.04,4765687.48,-330.06,-0.545,1.015,-0.734,0.267,-0.463,0.599,-0.074,PHY
13447,651113.04,4765687.48,-330.06,-0.234,1.925,0.075,0.223,-0.518,0.712,-0.045,PHY
13447,651113.04,4765687.48,-330.06,-0.225,1.812,0.324,-0.425,-0.581,0.641,-0.057,PHY
13447,651113.04,4765687.48,-330.06,-0.551,1.471,-0.507,-0.041,-0.593,0.404,-0.152,PHY
13447,651113.04,4765687.48,-330.06,-0.47,1.396,-0.557,0.601,-0.435,0.586,-0.062,PHY
13447,651113.04,4765687.48,-330.06,-0.343,1.827,0.109,-0.845,-0.691,0.651,-0.033,PHY
13447,651113.04,4765687.48,-330.06,-0.523,1.727,-0.77,0.557,-0.581,0.587,-0.13,PHY
